origin_type	treatment_type	F_FW_rosette	F_FW_aboveground_tot	F_FW_root	F_DW_rosette	F_DW_aboveground_tot	F_DW_root	F_RGR_max	F_WC1	F_WC2	F_LMA	F_fvfm	F_PIabs	F_Zn_S	F_Cd_S	F_Pb_S	F_Mg_S	F_Ca_S	F_K_S	F_Na_S	F_Cu_S	F_Fe_S	F_P_S	F_Zn_R	F_Cd_R	F_Pb_R	F_Mg_R	F_Ca_R	F_K_R	F_Na_R	F_Cu_R	F_Fe_R	F_P_R	F_rosette_hight	F_stem_nr	F_max_stem_length	F_epid_up	F_mes	F_epid_low	F_whole_leaf	F_cuti_up	F_cuti_low	F_stom_size_up_la	F_stom_size_up_sa	F_stom_area_up	F_stom_size_low_la	F_stom_size_low_sa	F_stom_area_low	F_stom_dens_low	F_stom_dens_up	F_palisade_long	F_palisade_short	F_trich_dens_up	F_trich_dens_low	F_whole_leaf_added	F_epid_up_propa	F_mes_propa	F_epid_low_propa	F_protection	F_assim_protection_prop	F_epid_up_propb	F_mes_propb	F_epid_low_propb	F_palisade_index	F_pollen_n_alive	F_pollen_n_dead	F_pollen_n_degen	F_pollen_n_deaddegen	F_pollen_n_all	F_pollen_viability_perc	F_pollen_dead_perc	F_pollen_degen_perc	F_pollen_deaddegen_perc	F_pollen_diameter	genotype_M_PL22_101	genotype_M_PL22_102	genotype_M_PL22_103	genotype_M_PL22_104	genotype_M_PL22_105	genotype_M_PL22_106	genotype_M_PL22_107	genotype_M_PL22_108	genotype_M_PL22_109	genotype_M_PL27_101	genotype_M_PL27_102	genotype_M_PL27_103	genotype_M_PL27_104	genotype_M_PL27_105	genotype_M_PL27_106	genotype_M_PL27_107	genotype_M_PL27_108	genotype_M_PL27_109	genotype_M_PL27_110	genotype_NM_PL14_105	genotype_NM_PL14_111	genotype_NM_PL14_114	genotype_NM_PL14_118	genotype_NM_PL14_119	genotype_NM_PL14_121	genotype_NM_PL14_126	genotype_NM_PL14_127	genotype_NM_PL14_128	genotype_NM_PL14_130	genotype_NM_PL35_101	genotype_NM_PL35_103	genotype_NM_PL35_104	genotype_NM_PL35_105	genotype_NM_PL35_106	genotype_NM_PL35_107	genotype_NM_PL35_108	genotype_NM_PL35_109	genotype_NM_PL35_110	genotype_NM_PL35_111	origin_pop_M_PL22	origin_pop_M_PL27	origin_pop_NM_PL14	origin_pop_NM_PL35	treatment_pop_M_PL22	treatment_pop_M_PL27	treatment_pop_NM_PL14	treatment_pop_NM_PL35	comparison_3levels_far_allopatric	comparison_3levels_near_allopatric	comparison_3levels_sympatric
0	0	2.551	2.551	1.125	0.3817	0.3817	0.173	0.023656791	73.20954907	2.733	0.004552208	0.82	2.849	9031.0	321.0	314.4	6230.0	19647.0	16208.0	42.0	10.7	4233.012	0.46	4054.0	243.8	215.7	2023.0	6036.0	8298.0	38.0	9.3	1789.5455	0.32	1.0	20.0	31.33333333	19.3500005	156.485001	15.0300005	183.9300005	0.65	0.59	14.58416675	13.69916667	157.7988424	15.49999992	13.8775	169.6292798	332.6330532	350.140056	39.8149985	24.3050005	0.0	0.0	190.865002	0.105203069	0.850785628	0.081715873	34.380001	4.551628751	0.101380558	0.819872682	0.07874676	1.638140205	327.0	2.0	0.0	2.0	329.0	99.39	0.61	0.0	0.607902736	15.54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
0	0	19.641	31.112	1.769	2.496	5.285	0.3765	0.045140423	84.51361868	5.457	0.001852718	0.776833333	3.061	19253.0	296.0	23.0	6186.0	17412.0	16289.0	16.0	3.1	420.074	0.19	4642.0	120.9	70.9	2216.0	3847.0	14669.0	47.0	4.6	114.2325	0.14	1.666666667	17.33333333	63.33333333	24.54	125.3550035	16.1450005	155.93	0.8	0.535	16.16666675	14.33583333	182.4597883	17.95416667	14.72333333	208.0178741	175.070028	297.6190476	30.505001	22.5650005	0.0	0.0	166.040004	0.157378311	0.803918447	0.103540053	40.6850005	3.081111023	0.147795708	0.754968685	0.097235607	1.351872383	432.0	7.0	1.0	8.0	440.0	98.18	1.59	0.23	1.818181818	16.65333333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
0	1	7.409	7.409	0.541	0.747	0.747	0.167	0.026860026	88.17679558	7.458	0.001749988	0.841	2.9883	12013.0	248.3	7.8	5807.0	21301.0	18591.0	148.0	8.9	3496.089	0.51	3316.0	139.9	2.1	1352.0	4300.0	15466.0	45.0	8.9	1426.211	0.69	0.0	28.33333333	62.66666667	21.1949995	110.1450005	19.0550005	144.290001	0.565	0.46	16.59499975	14.405	187.8690313	15.96500008	13.64	171.1366571	210.0840336	420.1680672	38.1299995	31.6399995	0.0	0.0	150.3950005	0.146891672	0.763358512	0.132060436	40.25	2.736521752	0.140928883	0.732371423	0.126699694	1.205120104	540.0	7.0	0.0	7.0	547.0	98.72	1.28	0.0	1.279707495	18.22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	3.618	11.743	0.628	0.406	2.148	0.189	0.034299692	91.34615385	10.556	0.004512697	0.819666667	2.4877	6832.0	139.2	3.0	6525.0	19273.0	21655.0	66.0	7.7	808.953	0.54	2467.0	56.6	3.4	1571.0	4742.0	14851.0	60.0	13.5	919.3795	0.6	0.0	21.33333333	57.33333333	15.255	79.32	12.855	106.7299995	0.56	0.61	15.66499992	14.18916667	174.9021878	15.00416667	13.4975	160.5250762	332.6330532	455.1820728	48.91	34.17	1.67930121	1.544957113	107.43	0.142930761	0.743183738	0.120444112	28.11	2.821771612	0.141999441	0.738341245	0.119659313	1.431372549	643.0	28.0	33.0	61.0	704.0	91.34	3.98	4.69	8.664772727	17.425	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	3.208	3.208	1.467	0.8748	0.8748	0.293	0.023916973	82.4742268	4.706	0.005799879	0.767	1.4732	1385.0	22.7	1.9	1968.0	4097.0	13636.0	46.0	4.5	1521.641	0.22	1620.0	13.9	0.6	2314.0	4894.0	10974.0	82.0	6.4	169.53	0.18	1.833333333	28.33333333	28.0	26.17	147.114998	16.9	180.7550045	0.63	0.575	18.51249975	15.39083333	224.3173045	19.38750008	15.49333342	237.053922	385.1540616	262.605042	41.3299995	35.8999995	2.754053984	0.537376387	190.184998	0.144781607	0.813891701	0.09349672	43.07	3.415718551	0.137602862	0.773536291	0.088860847	1.151253484	631.0	31.0	3.0	34.0	665.0	94.89	4.66	0.45	5.112781955	17.84166667	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0	0	2.841	2.841	1.636	0.402	0.402	0.292	0.050496533	79.84344423	3.961	0.001787478	0.782	2.5863	10078.0	429.8	219.3	8930.0	21196.0	20073.0	26.0	4.1	1176.396	0.24	2172.0	308.6	571.2	2073.0	3958.0	10081.0	29.0	5.6	345.3825	0.12	4.333333333	15.5	35.0	18.700001	96.255001	17.41	129.135002	0.755	0.685	16.84499975	14.89249992	197.2480127	17.345	14.28999992	194.847492	140.0560224	157.5630252	31.34	27.5649995	0.940408678	0.738892532	132.365002	0.144809701	0.745382735	0.134820147	36.110001	2.665605049	0.141276022	0.727193741	0.131530236	1.13694905	369.0	12.0	5.0	17.0	386.0	95.6	3.11	1.3	4.404145078	17.20333333	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
0	1	16.242	26.181	0.457	1.704	3.765	0.151	0.034496643	89.05579399	8.137	0.003195698	0.831666667	1.9213	11791.0	202.1	1.8	4191.0	20617.0	16670.0	88.0	9.1	2301.629	0.47	4475.0	84.3	1.8	845.0	3135.0	16048.0	38.0	8.3	500.13	0.33	5.5	18.5	47.5	18.64	90.220001	20.2349995	117.290001	0.62	0.52	15.74166675	13.89	172.2766038	15.64166675	13.42416667	166.7129023	227.5910364	385.1540616	38.5050015	34.025	0.470204339	0.671720484	129.0950005	0.158922328	0.769204538	0.172521096	38.8749995	2.32077176	0.14438979	0.698865182	0.156745028	1.131667935	719.0	6.0	67.0	73.0	792.0	90.78	0.76	8.46	9.217171717	17.765	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	2.63	2.63	0.345	0.3997	0.3997	0.0727	0.033513368	82.18623482	4.614	0.008126443	0.797333333	1.3727	779.0	12.4	2.1	2380.0	7396.0	15828.0	46.0	4.5	2099.081	0.33	654.0	13.2	4.0	1240.0	4365.0	5864.0	230.0	7.5	2430.4865	0.31	1.0	30.0	26.0	23.62	105.945	22.2150005	138.760002	0.625	0.575	16.5658335	14.37416667	187.3756619	16.4575	14.9125	193.3561791	455.1820728	350.140056	36.9799995	25.0599995	0.335860242	0.268688194	151.7800005	0.170221964	0.763512529	0.160096571	45.8350005	2.311443195	0.155619976	0.698016864	0.14636316	1.475658429	268.0	6.0	2.0	8.0	276.0	97.1	2.17	0.72	2.898550725	17.53666667	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
0	0	2.077	2.077	2.05	0.3598	0.3598	0.3063	0.024117155	79.03930131	3.771	0.006691463	0.793333333	1.4463	15445.0	331.8	214.5	5880.0	19563.0	13016.0	37.0	7.6	3178.896	0.34	4229.0	297.1	280.7	1802.0	5397.0	8536.0	54.0	20.8	2037.462	0.25	1.166666667	6.333333333	11.66666667	21.9349995	154.9100035	15.61	182.1949995	0.635	0.595	17.80583342	14.73416658	206.6849223	17.7425	14.80499992	206.7105385	420.1680672	350.140056	31.195	21.6599995	2.283849645	2.283849645	192.455003	0.120392983	0.850242893	0.085677434	37.5449995	4.125982303	0.113974691	0.80491544	0.081109869	1.440212406	125.0	0.0	3.0	3.0	128.0	97.66	0.0	2.34	2.34375	18.565	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
0	0	3.707	3.707	1.947	0.474	0.63	0.254	0.039363078	83.24250681	4.967	0.002289508	0.817666667	2.3923	15660.0	472.3	176.7	8739.0	25463.0	16695.0	21.0	3.8	1111.179	0.21	2200.0	179.7	339.2	1969.0	5251.0	8551.0	118.0	4.6	351.6115	0.12	4.666666667	18.33333333	49.33333333	22.8	144.8150025	22.969999	177.965004	0.64	0.515	15.21499983	13.2425	159.0450506	16.27500017	14.13333333	180.6864912	280.1120448	385.1540616	42.5300005	36.1550005	0.738892532	1.007580726	190.5850015	0.128115076	0.813727414	0.129070314	45.769999	3.163972158	0.119631659	0.759844696	0.120523645	1.176324157	611.0	7.0	0.0	7.0	618.0	98.87	1.13	0.0	1.132686084	18.11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
