sample	origin_pop	origin_type	treatment_pop	treatment_type	code	comparison_type	comparison_pop	comparison_3levels	F_FW_rosette	F_FW_aboveground_tot	F_FW_root	F_DW_rosette	F_DW_aboveground_tot	F_DW_root	F_RGR_max	F_WC1	F_WC2	F_LMA	F_fvfm	F_PIabs	F_Zn_S	F_Cd_S	F_Pb_S	F_Mg_S	F_Ca_S	F_K_S	F_Na_S	F_Cu_S	F_Fe_S	F_P_S	F_Zn_R	F_Cd_R	F_Pb_R	F_Mg_R	F_Ca_R	F_K_R	F_Na_R	F_Cu_R	F_Fe_R	F_P_R	F_rosette_hight	F_stem_nr	F_max_stem_length	F_epid_up	F_mes	F_epid_low	F_whole_leaf	F_cuti_up	F_cuti_low	F_stom_size_up_la	F_stom_size_up_sa	F_stom_area_up	F_stom_size_low_la	F_stom_size_low_sa	F_stom_area_low	F_stom_dens_low	F_stom_dens_up	F_palisade_long	F_palisade_short	F_trich_dens_up	F_trich_dens_low	F_whole_leaf_added	F_epid_up_propa	F_mes_propa	F_epid_low_propa	F_protection	F_assim_protection_prop	F_epid_up_propb	F_mes_propb	F_epid_low_propb	F_palisade_index	F_pollen_n_alive	F_pollen_n_dead	F_pollen_n_degen	F_pollen_n_deaddegen	F_pollen_n_all	F_pollen_viability_perc	F_pollen_dead_perc	F_pollen_degen_perc	F_pollen_deaddegen_perc	F_pollen_diameter
M_PL22_101	M_PL22	M	M_PL22	M	M_PL22_101_M_PL22	sympatric	sympatric	sympatric	2.551	2.551	1.125	0.3817	0.3817	0.173	0.023656791	73.20954907	2.733	0.004552208	0.82	2.849	9031	321	314.4	6230	19647	16208	42	10.7	4233.012	0.46	4054	243.8	215.7	2023	6036	8298	38	9.3	1789.5455	0.32	1	20	31.33333333	19.3500005	156.485001	15.0300005	183.9300005	0.65	0.59	14.58416675	13.69916667	157.7988424	15.49999992	13.8775	169.6292798	332.6330532	350.140056	39.8149985	24.3050005	0	0	190.865002	0.105203069	0.850785628	0.081715873	34.380001	4.551628751	0.101380558	0.819872682	0.07874676	1.638140205	327	2	0	2	329	99.39	0.61	0	0.607902736	15.54
M_PL22_101	M_PL22	M	M_PL27	M	M_PL22_101_M_PL27	sympatric	allopatric	near_allopatric	19.641	31.112	1.769	2.496	5.285	0.3765	0.045140423	84.51361868	5.457	0.001852718	0.776833333	3.061	19253	296	23	6186	17412	16289	16	3.1	420.074	0.19	4642	120.9	70.9	2216	3847	14669	47	4.6	114.2325	0.14	1.666666667	17.33333333	63.33333333	24.54	125.3550035	16.1450005	155.93	0.8	0.535	16.16666675	14.33583333	182.4597883	17.95416667	14.72333333	208.0178741	175.070028	297.6190476	30.505001	22.5650005	0	0	166.040004	0.157378311	0.803918447	0.103540053	40.6850005	3.081111023	0.147795708	0.754968685	0.097235607	1.351872383	432	7	1	8	440	98.18	1.59	0.23	1.818181818	16.65333333
M_PL22_101	M_PL22	M	NM_PL14	NM	M_PL22_101_NM_PL14	allopatric	allopatric	far_allopatric	7.409	7.409	0.541	0.747	0.747	0.167	0.026860026	88.17679558	7.458	0.001749988	0.841	2.9883	12013	248.3	7.8	5807	21301	18591	148	8.9	3496.089	0.51	3316	139.9	2.1	1352	4300	15466	45	8.9	1426.211	0.69	0	28.33333333	62.66666667	21.1949995	110.1450005	19.0550005	144.290001	0.565	0.46	16.59499975	14.405	187.8690313	15.96500008	13.64	171.1366571	210.0840336	420.1680672	38.1299995	31.6399995	0	0	150.3950005	0.146891672	0.763358512	0.132060436	40.25	2.736521752	0.140928883	0.732371423	0.126699694	1.205120104	540	7	0	7	547	98.72	1.28	0	1.279707495	18.22
M_PL22_101	M_PL22	M	NM_PL35	NM	M_PL22_101_NM_PL35	allopatric	allopatric	far_allopatric	4.232	8.113	3.653	0.8914	1.7967	0.8232	0.019424439	78.79746835	3.716	NA	0.814666667	2.4203	1891	10.9	1.6	1481	3511	13426	33	2.9	1184.573	0.26	1720	6.8	1.2	921	3030	9392	34	4.8	422.256	0.21	1	17.33333333	24.66666667	19.7150005	78.8600005	15.875	103.7299995	0.6	0.49	16.58	13.99333333	183.0505574	17.57666642	15.28916667	211.835325	297.6190476	262.605042	33.049999	22.875	0	0	114.450001	0.19006074	0.760242947	0.153041551	35.5900005	2.215790935	0.172258631	0.689034511	0.138706858	1.444808699	866	7	3	10	876	98.86	0.8	0.34	1.141552511	17.27833333
M_PL22_102	M_PL22	M	M_PL22	M	M_PL22_102_M_PL22	sympatric	sympatric	sympatric	NA	NA	NA	NA	NA	NA	0.016111484	NA	NA	NA	0.7915	2.2155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.333333333	8	21.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	687	3	2	5	692	99.28	0.43	0.29	0.722543353	16.65
M_PL22_102	M_PL22	M	M_PL27	M	M_PL22_102_M_PL27	sympatric	allopatric	near_allopatric	0.01	10.532	1.949	NA	2.176	0.5757	0.048123775	84	5.25	0.002668585	0.81	2.8093	8888	375	406.1	8841	24136	23674	69	5	2592.62	0.21	1754	169.1	1030.6	3338	4778	13540	45	4.1	158.163	0.1	4.666666667	11.66666667	49.66666667	29.110001	127.5550005	19.0200005	156.6599965	0.815	0.68	16.79999975	14.36833333	189.9036051	17.05166683	14.78416667	197.933789	140.0560224	297.6190476	41.58	31.9399995	1.276268919	0.806064581	175.685002	0.185816428	0.81421552	0.121409428	48.1300015	2.650218087	0.165694286	0.726043766	0.108261948	1.301815925	473	10	1	11	484	97.73	2.07	0.21	2.272727273	17.99833333
M_PL22_102	M_PL22	M	NM_PL14	NM	M_PL22_102_NM_PL14	allopatric	allopatric	far_allopatric	3.618	11.743	0.628	0.406	2.148	0.189	0.034299692	91.34615385	10.556	0.004512697	0.819666667	2.4877	6832	139.2	3	6525	19273	21655	66	7.7	808.953	0.54	2467	56.6	3.4	1571	4742	14851	60	13.5	919.3795	0.6	0	21.33333333	57.33333333	15.255	79.32	12.855	106.7299995	0.56	0.61	15.66499992	14.18916667	174.9021878	15.00416667	13.4975	160.5250762	332.6330532	455.1820728	48.91	34.17	1.67930121	1.544957113	107.43	0.142930761	0.743183738	0.120444112	28.11	2.821771612	0.141999441	0.738341245	0.119659313	1.431372549	643	28	33	61	704	91.34	3.98	4.69	8.664772727	17.425
M_PL22_102	M_PL22	M	NM_PL35	NM	M_PL22_102_NM_PL35	allopatric	allopatric	far_allopatric	3.208	3.208	1.467	0.8748	0.8748	0.293	0.023916973	82.4742268	4.706	0.005799879	0.767	1.4732	1385	22.7	1.9	1968	4097	13636	46	4.5	1521.641	0.22	1620	13.9	0.6	2314	4894	10974	82	6.4	169.53	0.18	1.833333333	28.33333333	28	26.17	147.114998	16.9	180.7550045	0.63	0.575	18.51249975	15.39083333	224.3173045	19.38750008	15.49333342	237.053922	385.1540616	262.605042	41.3299995	35.8999995	2.754053984	0.537376387	190.184998	0.144781607	0.813891701	0.09349672	43.07	3.415718551	0.137602862	0.773536291	0.088860847	1.151253484	631	31	3	34	665	94.89	4.66	0.45	5.112781955	17.84166667
M_PL22_103	M_PL22	M	M_PL22	M	M_PL22_103_M_PL22	sympatric	sympatric	sympatric	1.585	1.585	0.469	0.225	0.225	0.1033	0.029612391	79.22535211	3.814	NA	0.812	2.347	8331	254.2	318.2	4650	17541	19256	46	11.2	4917.852	0.56	2715	266.5	243.7	1127	5210	6682	37	13.1	1830.97	0.2	0.333333333	25	29	13.6	76.579998	9.295	99.32	0.62	0.525	15.63000008	13.385	166.2538042	15.42250017	13.05583333	159.4692738	332.6330532	455.1820728	23.6350005	15.735	6.717204839	5.172247726	99.474998	0.136931132	0.771043073	0.093586387	22.895	3.344835029	0.136717771	0.769841664	0.093440565	1.502065491	219.5	35.5	4	39.5	259	84.75	13.71	1.54	15.25096525	19.73
M_PL22_103	M_PL22	M	M_PL27	M	M_PL22_103_M_PL27	sympatric	allopatric	near_allopatric	2.841	2.841	1.636	0.402	0.402	0.292	0.050496533	79.84344423	3.961	0.001787478	0.782	2.5863	10078	429.8	219.3	8930	21196	20073	26	4.1	1176.396	0.24	2172	308.6	571.2	2073	3958	10081	29	5.6	345.3825	0.12	4.333333333	15.5	35	18.700001	96.255001	17.41	129.135002	0.755	0.685	16.84499975	14.89249992	197.2480127	17.345	14.28999992	194.847492	140.0560224	157.5630252	31.34	27.5649995	0.940408678	0.738892532	132.365002	0.144809701	0.745382735	0.134820147	36.110001	2.665605049	0.141276022	0.727193741	0.131530236	1.13694905	369	12	5	17	386	95.6	3.11	1.3	4.404145078	17.20333333
